Дата операции,Дата платежа,Номер карты,Статус,Сумма операции,Валюта операции,Сумма платежа,Валюта платежа,Кэшбэк,Категория,MCC,Описание,Бонусы (включая кэшбэк),Округление на инвесткопилку,Сумма операции с округлением
2020-09-04 07:27:09,2020-09-06,*7197,OK,-54.0,RUB,-54.0,RUB,,Супермаркеты,5411.0,Produkty 24,1,0,54.0
2020-09-03 09:57:39,2020-09-06,*7197,OK,-189.97,RUB,-189.97,RUB,,Супермаркеты,5411.0,Магнит,3,0,189.97
2020-09-03 09:54:15,2020-09-06,*7197,OK,-110.78,RUB,-110.78,RUB,,Супермаркеты,5499.0,Колхоз,2,0,110.78
2020-09-02 17:59:11,2020-09-05,*7197,OK,-68.0,RUB,-68.0,RUB,,Супермаркеты,5499.0,Колхоз,1,0,68.0
2020-09-02 10:31:44,2020-09-04,*7197,OK,-92.0,RUB,-92.0,RUB,,Супермаркеты,5499.0,Колхоз,1,0,92.0
2020-09-01 19:48:43,2020-09-04,*7197,OK,-72.0,RUB,-72.0,RUB,,Супермаркеты,5411.0,Supermarket 101,1,0,72.0
2020-09-01 19:43:56,2020-09-03,*7197,OK,-141.0,RUB,-141.0,RUB,,Супермаркеты,5411.0,Supermarket 101,2,0,141.0
2020-08-31 16:31:19,2020-09-02,*7197,OK,-92.0,RUB,-92.0,RUB,,Супермаркеты,5499.0,Колхоз,1,0,92.0
2020-08-31 09:43:26,2020-09-02,*7197,OK,-48.99,RUB,-48.99,RUB,,Супермаркеты,5411.0,Магнит,0,0,48.99
2020-08-30 19:26:38,2020-09-01,*7197,OK,-78.98,RUB,-78.98,RUB,,Супермаркеты,5411.0,Магнит,1,0,78.98
2020-08-30 19:12:47,2020-09-01,*7197,OK,-343.53,RUB,-343.53,RUB,,Супермаркеты,5411.0,Продукты Ермолино,6,0,343.53
2020-08-28 21:12:03,2020-08-30,*7197,OK,-129.98,RUB,-129.98,RUB,,Супермаркеты,5411.0,Магнит,2,0,129.98
2020-08-28 18:51:21,2020-08-30,*7197,OK,-289.98,RUB,-289.98,RUB,,Супермаркеты,5411.0,Магнит,5,0,289.98
2020-08-28 13:55:19,2020-08-30,*7197,OK,-180.84,RUB,-180.84,RUB,,Супермаркеты,5411.0,Продукты Ермолино,3,0,180.84
2020-08-27 19:09:21,2020-08-29,*7197,OK,-243.0,RUB,-243.0,RUB,,Супермаркеты,5411.0,Supermarket 101,4,0,243.0
2020-08-27 16:18:15,2020-08-29,*7197,OK,-518.82,RUB,-518.82,RUB,,Супермаркеты,5411.0,Supermarket 101,10,0,518.82
2020-08-27 09:08:12,2020-08-29,*7197,OK,-31.0,RUB,-31.0,RUB,,Супермаркеты,5499.0,Magazin 25,0,0,31.0
2020-08-25 13:16:16,2020-08-28,*7197,OK,-491.0,RUB,-491.0,RUB,,Супермаркеты,5411.0,Лента,9,0,491.0
2020-08-22 20:19:58,2020-08-25,*7197,OK,-94.0,RUB,-94.0,RUB,,Супермаркеты,5411.0,Supermarket 101,1,0,94.0
2020-08-22 16:26:15,2020-08-25,*7197,OK,-90.0,RUB,-90.0,RUB,,Супермаркеты,5499.0,Колхоз,1,0,90.0
2020-08-21 18:52:25,2020-08-24,*7197,OK,-92.73,RUB,-92.73,RUB,,Супермаркеты,5411.0,Supermarket 101,1,0,92.73
2020-08-20 19:52:48,2020-08-22,*7197,OK,-148.39,RUB,-148.39,RUB,,Супермаркеты,5411.0,Дикси,2,0,148.39
2020-08-20 15:23:59,2020-08-22,*7197,OK,-229.0,RUB,-229.0,RUB,,Супермаркеты,5411.0,Supermarket 101,4,0,229.0
2020-08-20 15:15:04,2020-08-22,*7197,OK,-138.0,RUB,-138.0,RUB,,Супермаркеты,5499.0,Колхоз,2,0,138.0
2020-08-19 17:46:23,2020-08-21,*7197,OK,-288.0,RUB,-288.0,RUB,,Супермаркеты,5411.0,Supermarket 101,5,0,288.0
2020-08-19 16:55:57,2020-08-21,*7197,OK,-317.64,RUB,-317.64,RUB,,Супермаркеты,5411.0,Магнит,6,0,317.64
2020-08-19 12:16:01,2020-08-21,*7197,OK,-90.0,RUB,-90.0,RUB,,Супермаркеты,5499.0,Колхоз,1,0,90.0
2020-08-18 17:44:57,2020-08-20,*7197,OK,-179.19,RUB,-179.19,RUB,,Супермаркеты,5411.0,Продукты Ермолино,3,0,179.19
2020-08-18 13:56:13,2020-08-20,*7197,OK,-79.0,RUB,-79.0,RUB,,Супермаркеты,5499.0,Magazin 25,1,0,79.0
2020-08-18 13:10:48,2020-08-20,*7197,OK,-160.0,RUB,-160.0,RUB,,Супермаркеты,5411.0,Лента,3,0,160.0
2020-08-17 16:08:51,2020-08-20,*7197,OK,-121.0,RUB,-121.0,RUB,,Супермаркеты,5499.0,Magazin 25,2,0,121.0
2020-08-17 13:33:21,2020-08-19,*7197,OK,-158.95,RUB,-158.95,RUB,,Супермаркеты,5411.0,Дикси,3,0,158.95
2020-08-17 11:51:11,2020-08-19,*7197,OK,-138.0,RUB,-138.0,RUB,,Супермаркеты,5499.0,Колхоз,2,0,138.0
2020-08-16 18:51:52,2020-08-19,*7197,OK,-65.9,RUB,-65.9,RUB,,Супермаркеты,5411.0,Магнит,1,0,65.9
2020-08-16 14:35:58,2020-08-19,*7197,OK,-99.5,RUB,-99.5,RUB,,Супермаркеты,5411.0,Магнит,1,0,99.5
2020-08-14 15:29:58,2020-08-16,*7197,OK,-89.43,RUB,-89.43,RUB,,Супермаркеты,5411.0,Продукты Ермолино,1,0,89.43
2020-08-14 13:30:30,2020-08-16,*7197,OK,-189.89,RUB,-189.89,RUB,,Супермаркеты,5411.0,Магнит,3,0,189.89
2020-08-13 15:27:30,2020-08-15,*7197,OK,-88.88,RUB,-88.88,RUB,,Супермаркеты,5499.0,Колхоз,1,0,88.88
2020-08-12 13:04:11,2020-08-14,*7197,OK,-123.99,RUB,-123.99,RUB,,Супермаркеты,5411.0,Магнит,2,0,123.99
2020-08-12 12:44:30,2020-08-14,*7197,OK,-87.53,RUB,-87.53,RUB,,Супермаркеты,5499.0,Колхоз,1,0,87.53
2020-08-11 17:19:40,2020-08-13,*7197,OK,-152.0,RUB,-152.0,RUB,,Супермаркеты,5411.0,Myasnoj Ryad,3,0,152.0
2020-08-09 15:35:26,2020-08-11,*7197,OK,-69.99,RUB,-69.99,RUB,,Супермаркеты,5411.0,Магнит,1,0,69.99
2020-08-05 20:42:16,2020-08-07,*7197,OK,-90.0,RUB,-90.0,RUB,,Супермаркеты,5441.0,Kofe Osobyj,1,0,90.0
2020-08-05 14:26:43,2020-08-07,*7197,OK,-158.73,RUB,-158.73,RUB,,Супермаркеты,5411.0,Продукты Ермолино,3,0,158.73
2020-08-05 12:17:20,2020-08-07,*7197,OK,-45.0,RUB,-45.0,RUB,,Супермаркеты,5499.0,Колхоз,0,0,45.0
2020-08-04 11:57:42,2020-08-06,*7197,OK,-45.0,RUB,-45.0,RUB,,Супермаркеты,5499.0,Колхоз,0,0,45.0
2020-08-03 12:40:55,2020-08-05,*7197,OK,-45.0,RUB,-45.0,RUB,,Супермаркеты,5499.0,Колхоз,0,0,45.0
2020-08-02 13:37:04,2020-08-04,*7197,OK,-48.99,RUB,-48.99,RUB,,Супермаркеты,5411.0,Магнит,0,0,48.99
2020-08-01 17:51:09,2020-08-03,*7197,OK,-116.0,RUB,-116.0,RUB,,Супермаркеты,5411.0,Supermarket 101,2,0,116.0
2020-08-01 11:14:59,2020-08-03,*7197,OK,-44.99,RUB,-44.99,RUB,,Супермаркеты,5411.0,Магнит,0,0,44.99
2020-08-01 11:07:35,2020-08-03,*7197,OK,-69.0,RUB,-69.0,RUB,,Супермаркеты,5499.0,Колхоз,1,0,69.0
2020-07-31 17:37:05,2020-08-02,*7197,OK,-196.35,RUB,-196.35,RUB,,Супермаркеты,5411.0,Продукты Ермолино,3,0,196.35
2020-07-31 17:22:51,2020-08-02,*7197,OK,-45.0,RUB,-45.0,RUB,,Супермаркеты,5499.0,Колхоз,0,0,45.0
2020-07-31 10:49:12,2020-08-02,*7197,OK,-47.0,RUB,-47.0,RUB,,Супермаркеты,5411.0,Supermarket 101,0,0,47.0
2020-07-31 08:25:19,2020-08-02,*7197,OK,-236.0,RUB,-236.0,RUB,,Супермаркеты,5411.0,Supermarket 101,4,0,236.0
2020-07-30 12:03:58,2020-08-01,*7197,OK,-47.0,RUB,-47.0,RUB,,Супермаркеты,5411.0,Магнит,0,0,47.0
2020-07-30 12:00:17,2020-08-01,*7197,OK,-45.0,RUB,-45.0,RUB,,Супермаркеты,5499.0,Колхоз,0,0,45.0
